joint_idx,joint_name,data_points,time_span,mean_error,std_error,max_abs_error,rms_error,mean_target_pos,std_target_pos,mean_actual_pos,std_actual_pos,mean_target_vel,std_target_vel,mean_actual_vel,std_actual_vel,mean_compute_torque,max_compute_torque,sampling_frequency
0,left_hip_pitch_joint,441,8.990646,0.000000,0.000000,0.000000,0.000000,0.046444,0.009794,0.046444,0.009794,0.000000,0.000000,-0.296432,0.172848,0.000000,0.000000,49.046123
1,left_hip_roll_joint,441,8.990646,0.000000,0.000000,0.000000,0.000000,-0.066543,0.021174,-0.066543,0.021174,0.000000,0.000000,0.484983,0.304854,0.000000,0.000000,49.046123
2,left_hip_yaw_joint,441,8.990646,0.000000,0.000000,0.000000,0.000000,0.014610,0.013203,0.014610,0.013203,0.000000,0.000000,0.048797,0.064177,0.000000,0.000000,49.046123
3,left_knee_joint,441,8.990646,0.000000,0.000000,0.000000,0.000000,-0.034320,0.011659,-0.034320,0.011659,0.000000,0.000000,-0.364214,0.053922,0.000000,0.000000,49.046123
4,left_ankle_pitch_joint,441,8.990646,0.000000,0.000000,0.000000,0.000000,0.019101,0.007113,0.019101,0.007113,0.000000,0.000000,0.219821,0.125475,0.000000,0.000000,49.046123
5,left_ankle_roll_joint,441,8.990646,0.000000,0.000000,0.000000,0.000000,0.038235,0.016176,0.038235,0.016176,0.000000,0.000000,0.335455,0.068028,0.000000,0.000000,49.046123
6,right_hip_pitch_joint,441,8.990646,0.000000,0.000000,0.000000,0.000000,-0.022438,0.022679,-0.022438,0.022679,0.000000,0.000000,0.341735,0.117447,0.000000,0.000000,49.046123
7,right_hip_roll_joint,441,8.990646,0.000000,0.000000,0.000000,0.000000,-0.050628,0.027217,-0.050628,0.027217,0.000000,0.000000,0.054652,0.130790,0.000000,0.000000,49.046123
8,right_hip_yaw_joint,441,8.990646,0.000000,0.000000,0.000000,0.000000,-0.003363,0.012795,-0.003363,0.012795,0.000000,0.000000,-0.004346,0.075382,0.000000,0.000000,49.046123
9,right_knee_joint,441,8.990646,0.000000,0.000000,0.000000,0.000000,0.027691,0.013439,0.027691,0.013439,0.000000,0.000000,-0.216911,0.279530,0.000000,0.000000,49.046123
10,right_ankle_pitch_joint,441,8.990646,0.000000,0.000000,0.000000,0.000000,-0.081346,0.017956,-0.081346,0.017956,0.000000,0.000000,0.397031,0.079841,0.000000,0.000000,49.046123
11,right_ankle_roll_joint,441,8.990646,0.000000,0.000000,0.000000,0.000000,0.006218,0.017114,0.006218,0.017114,0.000000,0.000000,0.184026,0.096491,0.000000,0.000000,49.046123
12,waist_yaw_joint,441,8.990646,0.000000,0.000000,0.000000,0.000000,-0.013604,0.010267,-0.013604,0.010267,0.000000,0.000000,0.041818,0.070341,0.000000,0.000000,49.046123
13,waist_roll_joint,441,8.990646,0.000000,0.000000,0.000000,0.000000,-0.022603,0.007531,-0.022603,0.007531,0.000000,0.000000,-0.102981,0.266966,0.000000,0.000000,49.046123
14,waist_pitch_joint,441,8.990646,0.000000,0.000000,0.000000,0.000000,0.030954,0.007452,0.030954,0.007452,0.000000,0.000000,0.412570,0.132910,0.000000,0.000000,49.046123
15,left_shoulder_pitch_joint,441,8.990646,0.000000,0.000000,0.000000,0.000000,-0.016906,0.009351,-0.016906,0.009351,0.000000,0.000000,-0.120127,0.136421,0.000000,0.000000,49.046123
16,left_shoulder_roll_joint,441,8.990646,0.000000,0.000000,0.000000,0.000000,-0.043466,0.009953,-0.043466,0.009953,0.000000,0.000000,-0.117528,0.186374,0.000000,0.000000,49.046123
17,left_shoulder_yaw_joint,441,8.990646,0.000000,0.000000,0.000000,0.000000,-0.021345,0.012626,-0.021345,0.012626,0.000000,0.000000,-0.301911,0.104167,0.000000,0.000000,49.046123
